,SmoothL1Loss,MAE,RMSE,RegLoss,SmoothL1Loss_val,MAE_val,RMSE_val
38,0.008770569329527496,3011.8136048421384,3935.8299400047317,0.0,0.011420884243965578,3522.632415823675,4376.227251694148
39,0.008641455953150648,2987.2877104741847,3908.2813842864516,0.0,0.012058833807561576,3763.8260750927684,4566.296745233315
40,0.00842635333262562,2939.355544736292,3860.4772219764923,0.0,0.01124961564856538,3371.641099753449,4278.116831323573
41,0.008308171023191042,2919.284932553541,3834.315110077045,0.0,0.011117120317742271,3367.9134158377037,4226.685622780995
42,0.008234536338361282,2898.232914755116,3817.484399408705,0.0,0.011153389705756384,3358.095965720218,4248.892340581266
43,0.008094832391807364,2867.4094935654452,3783.585410409123,0.0,0.009794234724384277,3239.732659613579,4042.122946028861
44,0.007898288126096836,2829.884803206691,3739.274649092185,0.0,0.009564519864097688,3118.1832849765474,3941.744258450478
45,0.007834253779589797,2817.4149859398144,3723.1883189452697,0.0,0.010104008606847292,3191.846226366987,4046.903332532057
46,0.007709862048945551,2791.459383968431,3694.069157621088,0.0,0.009324367433285638,3081.7855091140636,3880.4639165389226
47,0.007640135587075149,2778.0941499491682,3675.7348592802796,0.0,0.009658481968411112,3079.9659420348753,3924.6174720291833
48,0.007539646560753867,2754.187911714207,3652.8405788988352,0.0,0.00951977215686915,3148.457570274422,3951.0698199043277
49,0.0074133792700213684,2727.8892179774507,3621.371590770381,0.0,0.009635302316900306,3154.4428901607125,3946.723002656348
50,0.007364202554842275,2716.1831984618443,3609.8564647430294,0.0,0.00950959939747478,3093.615366006629,3914.0191020067464
51,0.007293146826721898,2702.2279032943825,3591.557671708489,0.0,0.009421279256148942,3061.310412682553,3879.0668834250923
52,0.007240578727034367,2691.763384763053,3578.155741124575,0.0,0.009410095928726766,3052.868907367853,3862.289209134684
53,0.007205909888738501,2683.0225761191573,3571.1009380678934,0.0,0.009444883802374557,3068.937814006429,3878.969792086047
54,0.007178111944755546,2677.63077897414,3563.7857439126105,0.0,0.009248855182867683,3045.405625856204,3845.3152896497068
55,0.0071624702158798285,2674.4908696795883,3559.5551552899387,0.0,0.009241409579659542,3057.8792827737984,3852.8228081287943
